"","Resultat","Kon","Alder","Utbildare"
"498",TRUE,"Man",18,"Trafikskola"
"499",FALSE,"Man",18,"Privatist"
"500",TRUE,"Kvinna",18,"Privatist"
"501",TRUE,"Man",18,"Privatist"
"502",FALSE,"Man",18,"Trafikskola"
"503",FALSE,"Man",18,"Privatist"
"504",FALSE,"Man",18,"Privatist"
"505",TRUE,"Kvinna",18,"Trafikskola"
"506",FALSE,"Kvinna",18,"Trafikskola"
"507",TRUE,"Kvinna",18,"Privatist"
"508",FALSE,"Man",18,"Privatist"
"509",FALSE,"Kvinna",18,"Privatist"
"510",FALSE,"Kvinna",18,"Trafikskola"
"511",TRUE,"Kvinna",18,"Trafikskola"
"512",TRUE,"Kvinna",18,"Trafikskola"
"513",TRUE,"Man",18,"Privatist"
"514",TRUE,"Kvinna",18,"Trafikskola"
"515",TRUE,"Man",18,"Trafikskola"
"516",TRUE,"Man",18,"Privatist"
"517",FALSE,"Man",18,"Privatist"
"518",TRUE,"Man",18,"Privatist"
"519",FALSE,"Kvinna",18,"Trafikskola"
"520",FALSE,"Man",18,"Privatist"
"521",FALSE,"Kvinna",18,"Privatist"
"522",TRUE,"Man",18,"Privatist"
"523",TRUE,"Man",18,"Privatist"
"524",FALSE,"Man",18,"Privatist"
"525",TRUE,"Man",18,"Privatist"
"526",TRUE,"Man",18,"Privatist"
"527",FALSE,"Man",18,"Privatist"
"528",TRUE,"Man",18,"Trafikskola"
"529",TRUE,"Man",18,"Trafikskola"
"530",TRUE,"Kvinna",18,"Privatist"
"531",FALSE,"Kvinna",18,"Privatist"
"532",FALSE,"Man",18,"Privatist"
"533",TRUE,"Man",18,"Privatist"
"534",FALSE,"Man",18,"Privatist"
"535",FALSE,"Man",18,"Privatist"
"536",TRUE,"Kvinna",18,"Privatist"
"537",FALSE,"Man",18,"Privatist"
"538",TRUE,"Man",18,"Privatist"
"539",TRUE,"Man",18,"Privatist"
"540",TRUE,"Kvinna",18,"Privatist"
"541",FALSE,"Man",18,"Trafikskola"
"542",TRUE,"Kvinna",18,"Trafikskola"
"543",FALSE,"Man",18,"Trafikskola"
"544",TRUE,"Kvinna",18,"Privatist"
"545",TRUE,"Man",18,"Trafikskola"
"546",FALSE,"Man",18,"Privatist"
"547",TRUE,"Man",18,"Trafikskola"
"548",FALSE,"Kvinna",18,"Trafikskola"
"549",TRUE,"Man",18,"Privatist"
"550",TRUE,"Man",18,"Privatist"
"551",FALSE,"Man",18,"Trafikskola"
"552",FALSE,"Kvinna",18,"Privatist"
"553",TRUE,"Man",18,"Privatist"
"554",TRUE,"Man",18,"Privatist"
"555",FALSE,"Kvinna",18,"Privatist"
"556",FALSE,"Man",18,"Privatist"
"557",TRUE,"Man",18,"Trafikskola"
"558",TRUE,"Man",18,"Privatist"
"559",TRUE,"Man",18,"Trafikskola"
"560",TRUE,"Man",18,"Trafikskola"
"561",FALSE,"Kvinna",18,"Privatist"
"562",TRUE,"Kvinna",18,"Trafikskola"
"563",TRUE,"Man",18,"Trafikskola"
"564",TRUE,"Man",18,"Trafikskola"
"565",TRUE,"Kvinna",18,"Trafikskola"
"566",FALSE,"Kvinna",18,"Trafikskola"
"567",TRUE,"Man",18,"Trafikskola"
"568",TRUE,"Kvinna",18,"Privatist"
"569",FALSE,"Man",18,"Trafikskola"
"570",FALSE,"Man",18,"Privatist"
"571",TRUE,"Kvinna",18,"Trafikskola"
"572",FALSE,"Man",18,"Privatist"
"573",FALSE,"Man",18,"Privatist"
"574",TRUE,"Kvinna",18,"Privatist"
"575",FALSE,"Kvinna",18,"Privatist"
"576",FALSE,"Man",18,"Privatist"
"577",TRUE,"Man",18,"Privatist"
"578",FALSE,"Man",18,"Privatist"
"579",FALSE,"Man",18,"Privatist"
"580",FALSE,"Man",18,"Privatist"
"581",TRUE,"Kvinna",18,"Trafikskola"
"582",FALSE,"Kvinna",18,"Trafikskola"
"583",TRUE,"Man",18,"Privatist"
"584",TRUE,"Kvinna",18,"Trafikskola"
"585",TRUE,"Man",18,"Trafikskola"
"586",TRUE,"Kvinna",18,"Privatist"
"587",TRUE,"Man",18,"Trafikskola"
"588",FALSE,"Kvinna",18,"Privatist"
"589",FALSE,"Man",18,"Trafikskola"
"590",TRUE,"Man",18,"Trafikskola"
"591",FALSE,"Man",18,"Privatist"
"592",FALSE,"Kvinna",18,"Trafikskola"
"593",TRUE,"Kvinna",18,"Privatist"
"594",FALSE,"Man",18,"Trafikskola"
"595",TRUE,"Man",18,"Privatist"
"596",FALSE,"Man",18,"Trafikskola"
"597",FALSE,"Man",18,"Privatist"
"598",TRUE,"Man",18,"Privatist"
"599",TRUE,"Man",18,"Privatist"
"600",TRUE,"Kvinna",18,"Privatist"
"601",TRUE,"Kvinna",18,"Privatist"
"602",FALSE,"Man",18,"Trafikskola"
"603",TRUE,"Kvinna",18,"Privatist"
"604",TRUE,"Kvinna",18,"Privatist"
"605",TRUE,"Man",18,"Trafikskola"
